DATE,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2016/5/21,5506,11938,25848,59135,19754,12664,9787,3727,2598,11921,1809,3461,10040,8470,14615,6895,7825,4403,7580,3433,6377,7877,2060,18303,2744,11367,10358,15166,16901,15190,8658,34182,22251,31887,26982,5935,33974,25021,21916,19668,16832,183927,43620,21176,19334,29022,38706,31094,22065,9709,26798,6026,6238,17429,7551,3288,2280,10115,9529,5793,41757,5838,11994,6450,20271,15265,30356,43583,36818,22614,28587,91536,17363,34376,44572,23694,62713,16719,15963,10409,11874,8363,46888,14422,9458,6659,23609,19660,17617,18589,10817,12631,4594,2529,4982,11458,9897,10564,14443,24330,26980,10871,11196,11902,10872,11324,8136,8338
2016/5/22,5309,9344,19164,45050,14580,9511,7452,3204,2214,9716,1456,2858,8481,7074,12526,5563,6552,4049,6354,3593,5396,5928,1893,17592,2300,10750,8944,12220,14722,13977,7680,30713,18390,23944,23967,4431,28734,20721,18450,16850,12024,172053,35020,14899,16970,25970,33208,24967,23530,7629,23634,5228,4855,14775,6795,2831,1734,9172,8224,5615,45674,5513,10377,5728,16149,12291,24636,37513,29203,19826,24986,75255,14747,28242,33643,18563,50280,14018,13159,9392,8576,8190,40893,11279,9535,5681,16520,11410,14373,15051,8861,10810,3996,2088,3569,7333,7638,8468,12081,18420,21637,9007,9559,10286,9261,10174,7360,7372
2016/5/23,6196,15562,36648,43984,24499,15311,11281,3917,2968,15473,1977,4587,5778,10603,9602,17927,15220,5288,7918,3082,8661,8036,4221,26570,2283,10186,11800,15862,20638,15970,8918,27300,17973,32750,27759,10012,36877,26234,25358,20653,26158,138228,33383,23031,23740,24520,31795,27582,22274,12636,31697,7268,8013,17486,4885,3337,3078,13683,9905,7097,37065,6394,11491,6667,19882,18945,25884,38090,38843,25295,25904,60349,22277,29355,37200,21696,56238,19455,16868,15686,11201,9359,36209,16780,6662,7659,37643,21786,21605,20102,13838,11284,4103,4112,4409,9351,8710,11336,16928,27446,22840,11533,12032,12132,11915,11868,8494,8050
2016/5/24,5724,15915,38041,45063,24959,15107,11493,3773,2989,15632,2035,4501,5503,10533,10622,18363,15778,5344,7928,2916,8691,8168,4366,27126,2277,10129,11813,15749,20525,16267,8683,26382,18681,33131,28976,10578,36509,26426,25107,20916,27206,131523,34835,23465,24659,25986,34529,29132,23238,13074,31982,7374,8433,18866,5565,3448,3164,14332,10417,7121,36073,6615,11726,6576,20926,19884,26380,37119,39534,25593,26088,61810,23109,30251,37953,21400,54456,19766,16429,15571,12094,9564,26419,17349,6764,7862,39230,21732,21991,20882,13503,11642,4139,4222,4415,9299,9077,11510,17224,28631,23342,11275,12421,11972,11818,11707,8480,7988
2016/5/25,5824,15964,38546,46030,24803,15762,11579,3881,3053,15961,2088,4581,6792,10617,9905,18466,15990,5320,8056,3213,8738,8128,4347,27332,2292,10628,12025,16220,20947,16375,9116,26978,18995,33540,30088,10313,36881,27106,25387,21189,26212,133848,36535,23216,24454,25965,33969,29429,24645,13089,32174,7254,8160,19025,5280,3487,3088,13832,10291,7065,37090,6728,11955,6895,21101,19283,26802,37889,39499,26037,26591,63607,23786,30907,39099,21928,55210,20255,16672,15849,12311,10060,26087,17497,7292,8063,39189,22384,22717,21144,13633,11714,4289,4253,4438,9516,8975,11669,17535,28378,24057,11606,12261,12102,11934,11641,8710,7957
2016/5/26,6032,16212,38894,47361,25211,15727,11656,3694,2986,15764,2115,4558,6398,10538,10455,18739,15656,5438,7936,3207,8524,8018,4441,27401,2363,10292,11841,16021,20614,16236,8776,28018,19052,33284,30161,10142,36199,26163,25156,20758,26322,138071,36282,23476,24449,25781,35042,29124,23197,12807,32211,7345,8332,18895,5575,3484,3105,14114,10173,7093,37021,6550,12001,6475,20902,19204,26691,38249,39392,26063,25629,62764,23446,31255,39465,21491,56895,20015,16609,15710,12394,9921,26587,17183,7050,7657,39476,22378,21833,21256,13285,11632,4333,4217,4523,9277,8914,11589,17358,28079,24139,11317,12080,12020,11678,11516,8645,7893
2016/5/27,6594,16811,40828,54648,26399,16677,12394,4152,2958,16360,2074,4701,7001,10637,11722,18444,15848,5800,8645,3262,8786,8769,4692,28649,2547,10877,12618,16827,21745,17431,9749,30262,20845,35325,32382,10659,39069,28529,26763,21919,27193,179792,41510,24902,25523,28245,36185,31158,24694,13038,32972,7693,8371,19622,5645,3561,3152,14055,10546,7136,37830,7072,12870,7002,22333,19912,28841,44375,41306,27084,26781,73123,24992,33282,45169,24973,65363,21431,17730,16416,13834,10284,29432,19093,7677,8314,41254,23368,23978,21812,13692,13378,4689,4452,4665,9523,9915,11959,18588,30185,26694,12271,12611,12832,12204,12414,9246,8382
2016/5/28,5324,12181,26406,57817,18401,12401,9358,3698,2781,11042,1712,3453,8134,8378,13863,7230,7678,4224,7662,3884,6042,6922,2192,19420,2419,11334,10015,14043,16884,15618,8811,33965,22034,29605,27492,6145,33580,24739,21685,18955,15917,182791,43549,20969,17827,32487,39128,30211,22205,9727,27221,5977,5883,16341,7722,3296,2076,10028,10161,6875,43488,5837,11464,6435,18235,14981,29494,42610,34800,22487,27367,85516,18335,31566,44046,23698,60474,16637,16065,10525,10560,8961,26735,14448,10181,6955,22548,21238,18310,19143,10689,13388,4880,2443,4556,7950,9061,10225,14374,23453,26166,10639,10993,11710,10419,11048,7983,7587
2016/5/29,5241,9586,18401,45967,13934,9580,7578,3411,2164,9551,1478,2789,8323,7657,11325,6086,6069,3662,6162,3556,5379,5777,1920,15381,2303,10720,8818,12106,14164,12986,7730,30677,17539,23342,22435,4371,28069,20134,17690,16141,12366,162963,34909,14161,16465,24706,32377,24454,22741,7574,24411,5122,4764,14636,5370,2698,1805,8724,8081,5291,43298,5051,9960,5130,15576,11530,22851,35943,28294,18504,23205,70386,13916,27170,33765,17663,48528,13702,13145,9035,9055,8027,21669,10892,9303,5285,16432,12157,14041,14888,8479,10047,3551,2125,3418,6564,7541,7758,11280,16829,21989,8465,8687,9014,8582,9139,6653,6493
2016/5/30,5918,15467,36050,44102,23735,14795,11060,3683,3048,15002,1994,4473,5584,10546,9350,18181,15220,5182,7777,2905,8547,7799,4333,28091,2216,9954,11538,15850,20383,16248,8607,26488,17896,31738,27692,10066,35984,25794,24618,20484,26272,134124,34142,22645,23302,24333,31777,27543,22225,12724,30967,7154,7876,18391,4442,3267,2894,13493,9895,6807,36557,6418,11449,6474,20350,19067,25696,36965,38158,25098,25119,60806,21893,29123,36589,21555,55255,19248,16206,15377,12479,9400,26538,16516,6519,7783,36633,21907,21717,20579,13526,10928,4102,4235,4335,9098,8756,11057,16429,27045,22502,11002,11696,11775,11321,11217,8571,7780
2016/5/31,5640,16043,38258,46067,24817,15055,11354,3772,2996,15451,2062,4573,6219,10509,10063,18381,15909,5328,8088,3120,8753,8213,4619,35236,2230,9960,11547,15855,20813,16318,8760,27323,18557,32712,29707,10374,36247,26295,25127,21109,26916,132674,35524,23060,23952,25682,32971,28582,23200,12879,31500,7267,8064,18777,4746,3385,2937,13557,10135,6999,35212,6463,11621,6610,20789,19495,26243,37519,39151,25802,25419,60928,23574,29540,38728,21598,57058,20079,16452,15693,12759,9676,31212,17308,6936,7758,38296,21506,21817,21131,13426,11523,4366,4500,4362,9331,9178,11554,16998,28118,23551,11439,12211,12374,11888,11350,8541,7916
